timestamp, utilization.gpu [%], memory.used [MiB]
2026/09/25 02:47:30.842, 43 %, 56 MiB
2026/09/25 02:47:31.844, 19 %, 56 MiB
2026/09/25 02:47:32.844, 19 %, 56 MiB
2026/09/25 02:47:33.845, 42 %, 56 MiB
2026/09/25 02:47:34.845, 42 %, 56 MiB
2026/09/25 02:47:35.845, 19 %, 56 MiB
2026/09/25 02:47:36.845, 41 %, 56 MiB
2026/09/25 02:47:37.845, 43 %, 56 MiB
2026/09/25 02:47:38.845, 19 %, 56 MiB
2026/09/25 02:47:39.846, 19 %, 56 MiB
2026/09/25 02:47:40.846, 42 %, 56 MiB
2026/09/25 02:47:41.846, 42 %, 56 MiB
2026/09/25 02:47:42.846, 19 %, 56 MiB
2026/09/25 02:47:43.846, 19 %, 56 MiB
2026/09/25 02:47:44.847, 42 %, 56 MiB
2026/09/25 02:47:45.847, 23 %, 56 MiB
2026/09/25 02:47:46.847, 19 %, 56 MiB
2026/09/25 02:47:47.847, 42 %, 56 MiB
2026/09/25 02:47:48.847, 42 %, 56 MiB
2026/09/25 02:47:49.848, 19 %, 56 MiB
2026/09/25 02:47:50.848, 19 %, 56 MiB
2026/09/25 02:47:51.848, 42 %, 56 MiB
2026/09/25 02:47:52.850, 42 %, 56 MiB
2026/09/25 02:47:53.850, 19 %, 56 MiB
2026/09/25 02:47:54.850, 41 %, 56 MiB
2026/09/25 02:47:55.850, 42 %, 56 MiB
2026/09/25 02:47:56.850, 19 %, 56 MiB
2026/09/25 02:47:57.851, 19 %, 56 MiB
2026/09/25 02:47:58.851, 42 %, 56 MiB
2026/09/25 02:47:59.851, 42 %, 56 MiB
2026/09/25 02:48:00.851, 19 %, 56 MiB
2026/09/25 02:48:01.851, 41 %, 56 MiB
2026/09/25 02:48:02.852, 43 %, 56 MiB
2026/09/25 02:48:03.852, 19 %, 56 MiB
2026/09/25 02:48:04.852, 19 %, 56 MiB
2026/09/25 02:48:05.852, 42 %, 56 MiB
2026/09/25 02:48:06.852, 42 %, 56 MiB
2026/09/25 02:48:07.852, 19 %, 56 MiB
2026/09/25 02:48:08.853, 40 %, 56 MiB
2026/09/25 02:48:09.853, 42 %, 56 MiB
2026/09/25 02:48:10.853, 19 %, 56 MiB
2026/09/25 02:48:11.853, 19 %, 56 MiB
2026/09/25 02:48:12.853, 42 %, 56 MiB
2026/09/25 02:48:13.854, 43 %, 56 MiB
2026/09/25 02:48:14.854, 19 %, 56 MiB
2026/09/25 02:48:15.854, 19 %, 56 MiB
2026/09/25 02:48:16.854, 43 %, 56 MiB
2026/09/25 02:48:17.854, 43 %, 56 MiB
2026/09/25 02:48:18.855, 19 %, 56 MiB
2026/09/25 02:48:19.855, 41 %, 56 MiB
2026/09/25 02:48:20.855, 42 %, 56 MiB
2026/09/25 02:48:21.855, 19 %, 56 MiB
2026/09/25 02:48:22.855, 19 %, 56 MiB
2026/09/25 02:48:23.855, 43 %, 56 MiB
2026/09/25 02:48:24.856, 43 %, 56 MiB
2026/09/25 02:48:25.856, 19 %, 56 MiB
2026/09/25 02:48:26.856, 19 %, 56 MiB
2026/09/25 02:48:27.856, 43 %, 56 MiB
2026/09/25 02:48:28.856, 43 %, 56 MiB
2026/09/25 02:48:29.857, 19 %, 56 MiB
2026/09/25 02:48:30.857, 41 %, 56 MiB
2026/09/25 02:48:31.857, 42 %, 56 MiB
