timestamp, utilization.gpu [%], memory.used [MiB]
2026/09/25 06:13:56.117, 19 %, 56 MiB
2026/09/25 06:13:57.121, 42 %, 56 MiB
2026/09/25 06:13:58.121, 42 %, 56 MiB
2026/09/25 06:13:59.121, 19 %, 56 MiB
2026/09/25 06:14:00.121, 42 %, 56 MiB
2026/09/25 06:14:01.121, 42 %, 56 MiB
2026/09/25 06:14:02.122, 19 %, 56 MiB
2026/09/25 06:14:03.122, 19 %, 56 MiB
2026/09/25 06:14:04.122, 42 %, 56 MiB
2026/09/25 06:14:05.122, 42 %, 56 MiB
2026/09/25 06:14:06.122, 19 %, 56 MiB
2026/09/25 06:14:07.122, 19 %, 56 MiB
2026/09/25 06:14:08.123, 42 %, 56 MiB
2026/09/25 06:14:09.123, 42 %, 56 MiB
2026/09/25 06:14:10.123, 19 %, 56 MiB
2026/09/25 06:14:11.123, 38 %, 56 MiB
2026/09/25 06:14:12.123, 42 %, 56 MiB
2026/09/25 06:14:13.124, 23 %, 56 MiB
2026/09/25 06:14:14.124, 19 %, 56 MiB
2026/09/25 06:14:15.124, 43 %, 56 MiB
2026/09/25 06:14:16.124, 43 %, 56 MiB
2026/09/25 06:14:17.124, 19 %, 56 MiB
2026/09/25 06:14:18.125, 19 %, 56 MiB
2026/09/25 06:14:19.125, 42 %, 56 MiB
2026/09/25 06:14:20.125, 42 %, 56 MiB
2026/09/25 06:14:21.125, 19 %, 56 MiB
2026/09/25 06:14:22.125, 41 %, 56 MiB
2026/09/25 06:14:23.125, 42 %, 56 MiB
2026/09/25 06:14:24.126, 19 %, 56 MiB
2026/09/25 06:14:25.126, 19 %, 56 MiB
2026/09/25 06:14:26.126, 42 %, 56 MiB
2026/09/25 06:14:27.126, 43 %, 56 MiB
2026/09/25 06:14:28.126, 19 %, 56 MiB
2026/09/25 06:14:29.127, 19 %, 56 MiB
2026/09/25 06:14:30.127, 42 %, 56 MiB
2026/09/25 06:14:31.127, 19 %, 56 MiB
2026/09/25 06:14:32.127, 19 %, 56 MiB
2026/09/25 06:14:33.127, 42 %, 56 MiB
2026/09/25 06:14:34.127, 42 %, 56 MiB
2026/09/25 06:14:35.128, 19 %, 56 MiB
2026/09/25 06:14:36.128, 19 %, 56 MiB
2026/09/25 06:14:37.128, 42 %, 56 MiB
2026/09/25 06:14:38.128, 42 %, 56 MiB
2026/09/25 06:14:39.129, 19 %, 56 MiB
2026/09/25 06:14:40.129, 19 %, 56 MiB
2026/09/25 06:14:41.129, 42 %, 56 MiB
2026/09/25 06:14:42.129, 42 %, 56 MiB
2026/09/25 06:14:43.129, 19 %, 56 MiB
2026/09/25 06:14:44.130, 41 %, 56 MiB
2026/09/25 06:14:45.130, 42 %, 56 MiB
2026/09/25 06:14:46.130, 23 %, 56 MiB
2026/09/25 06:14:47.130, 19 %, 56 MiB
2026/09/25 06:14:48.130, 43 %, 56 MiB
2026/09/25 06:14:49.130, 43 %, 56 MiB
2026/09/25 06:14:50.131, 19 %, 56 MiB
2026/09/25 06:14:51.131, 19 %, 56 MiB
2026/09/25 06:14:52.131, 42 %, 56 MiB
2026/09/25 06:14:53.131, 42 %, 56 MiB
2026/09/25 06:14:54.131, 19 %, 56 MiB
2026/09/25 06:14:55.131, 19 %, 56 MiB
2026/09/25 06:14:56.132, 42 %, 56 MiB
2026/09/25 06:14:57.132, 42 %, 56 MiB
2026/09/25 06:14:58.132, 19 %, 56 MiB
2026/09/25 06:14:59.132, 19 %, 56 MiB
2026/09/25 06:15:00.132, 42 %, 56 MiB
2026/09/25 06:15:01.133, 42 %, 56 MiB
2026/09/25 06:15:02.133, 19 %, 56 MiB
2026/09/25 06:15:03.133, 41 %, 56 MiB
